# sat-benchmark 0.8.14 on smithi @ 2016-06-26T14:36:01+09:00
# designate: 167192 2016-01-27T11:34 /usr/bin/glucose
# parameters: '-maxnbthreads=1' and timeout: 1260 sec.
solver, num, target, time
"glucose(1 thread)", 1, "SR15m/009-80-4.cnf",  184.49
"glucose(1 thread)", 2, "SR15m/38bits_10.dimacs.cnf",  18.92
"glucose(1 thread)", 3, "SR15m/40bits_10.dimacs.cnf",  21.00
"glucose(1 thread)", 4, "SR15m/42bits_12.dimacs.cnf",  52.06
"glucose(1 thread)", 5, "SR15m/44bits_11.dimacs.cnf",  310.90
"glucose(1 thread)", 6, "SR15m/46bits_11.dimacs.cnf",  230.12
"glucose(1 thread)", 7, "SR15m/46bits_12.dimacs.cnf",  157.32
"glucose(1 thread)", 8, "SR15m/46bits_14.dimacs.cnf",  32.91
"glucose(1 thread)", 9, "SR15m/48bits_11.dimacs.cnf",  40.66
"glucose(1 thread)", 10, "SR15m/48bits_14.dimacs.cnf",  569.38
"glucose(1 thread)", 11, "SR15m/50bits_10.dimacs.cnf",  955.52
"glucose(1 thread)", 12, "SR15m/6s168-opt.cnf",  46.20
"glucose(1 thread)", 13, "SR15m/ACG-20-5p0.cnf",  162.32
"glucose(1 thread)", 14, "SR15m/E02F20.cnf",  60.92
"glucose(1 thread)", 15, "SR15m/E02F22.cnf",  307.70
"glucose(1 thread)", 16, "SR15m/UCG-20-5p0.cnf",  214.19
"glucose(1 thread)", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1259.93
"glucose(1 thread)", 18, "SR15m/aes_32_3_keyfind_1.cnf",  909.87
"glucose(1 thread)", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1259.60
"glucose(1 thread)", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  160.15
"glucose(1 thread)", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  1259.53
"glucose(1 thread)", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  195.86
"glucose(1 thread)", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  2.17
