# by sat-benchmark.hs 0.8.11 @ 2016-04-01T15:24:36+09:00
# # designate: 270280 2015-12-01T10:24 /home/narazaki/Nash/bin/minisat-1.14
# parameters: '' and timeout: 1500 sec.
solver, num, target, time
"minisat-1.14", 1, "SR15m/009-80-4.cnf",  1499.15
"minisat-1.14", 2, "SR15m/38bits_10.dimacs.cnf",  16.27
"minisat-1.14", 3, "SR15m/40bits_10.dimacs.cnf",  2.10
"minisat-1.14", 4, "SR15m/42bits_12.dimacs.cnf",  5.11
"minisat-1.14", 5, "SR15m/44bits_11.dimacs.cnf",  447.18
"minisat-1.14", 6, "SR15m/46bits_11.dimacs.cnf",  234.61
"minisat-1.14", 7, "SR15m/46bits_12.dimacs.cnf",  99.61
"minisat-1.14", 8, "SR15m/46bits_14.dimacs.cnf",  162.52
"minisat-1.14", 9, "SR15m/48bits_11.dimacs.cnf",  4.02
"minisat-1.14", 10, "SR15m/48bits_14.dimacs.cnf",  148.81
"minisat-1.14", 11, "SR15m/50bits_10.dimacs.cnf",  1499.98
"minisat-1.14", 12, "SR15m/6s168-opt.cnf",  1499.88
"minisat-1.14", 13, "SR15m/ACG-20-5p0.cnf",  478.83
"minisat-1.14", 14, "SR15m/E02F20.cnf",  351.91
"minisat-1.14", 15, "SR15m/E02F22.cnf",  139.58
"minisat-1.14", 16, "SR15m/UCG-20-5p0.cnf",  373.84
"minisat-1.14", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1499.97
"minisat-1.14", 18, "SR15m/aes_32_3_keyfind_1.cnf",  1401.05
"minisat-1.14", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1499.29
"minisat-1.14", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  1499.64
"minisat-1.14", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  1499.32
"minisat-1.14", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  495.41
"minisat-1.14", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  0.08
"minisat-1.14", 24, "SR15m/complete-400-0.1-3-9876543214003.cnf",  0.05
"minisat-1.14", 25, "SR15m/complete-500-0.1-1-9876543215001.cnf",  0.13
"minisat-1.14", 26, "SR15m/complete-500-0.1-15-98765432150015.cnf",  0.13
"minisat-1.14", 27, "SR15m/complete-500-0.1-17-98765432150017.cnf",  0.12
"minisat-1.14", 28, "SR15m/complete-500-0.1-8-9876543215008.cnf",  0.14
"minisat-1.14", 29, "SR15m/gss-18-s100.cnf",  753.90
"minisat-1.14", 30, "SR15m/gss-19-s100.cnf",  257.36
"minisat-1.14", 31, "SR15m/itox_vc1130.cnf",  18.75
"minisat-1.14", 32, "SR15m/jgiraldezlevy.2200.9086.08.40.158.cnf",  119.01
"minisat-1.14", 33, "SR15m/jgiraldezlevy.2200.9086.08.40.194.cnf",  605.12
"minisat-1.14", 34, "SR15m/jgiraldezlevy.2200.9086.08.40.22.cnf",  248.33
"minisat-1.14", 35, "SR15m/jgiraldezlevy.2200.9086.08.40.35.cnf",  229.52
"minisat-1.14", 36, "SR15m/jgiraldezlevy.2200.9086.08.40.41.cnf",  1499.96
"minisat-1.14", 37, "SR15m/jgiraldezlevy.2200.9086.08.40.62.cnf",  145.58
"minisat-1.14", 38, "SR15m/jgiraldezlevy.2200.9086.08.40.81.cnf",  50.24
"minisat-1.14", 39, "SR15m/jgiraldezlevy.2200.9086.08.40.85.cnf",  402.80
"minisat-1.14", 40, "SR15m/k2fix_gr_rcs_w9.shuffled.cnf",  1498.57
"minisat-1.14", 41, "SR15m/manthey_DimacsSorterHalf_28_4.cnf",  59.92
