# by sat-benchmark.hs 0.8.5 @ 2016-01-27T19:57:12+0900
# WARNING: for repeatability, setting FPU to use double precision
# designate: 65368 2014-09-25T19:19 /usr/bin/minisat
# parameters: '' and timeout: 1000 sec.
solver, num, target, time
"minisat-2.2", 3, 40bits_10.dimacs.cnf,  4.97
"minisat-2.2", 2, 38bits_10.dimacs.cnf,  6.79
"minisat-2.2", 10, 48bits_14.dimacs.cnf,  16.47
"minisat-2.2", 7, 46bits_12.dimacs.cnf,  87.74
"minisat-2.2", 8, 46bits_14.dimacs.cnf,  153.46
"minisat-2.2", 4, 42bits_12.dimacs.cnf,  173.38
"minisat-2.2", 5, 44bits_11.dimacs.cnf,  176.38
"minisat-2.2", 1, 009-80-4.cnf,  236.88
"minisat-2.2", 15, E02F22.cnf,  338.88
"minisat-2.2", 14, E02F20.cnf,  460.84
"minisat-2.2", 12, 6s168-opt.cnf,  537.23
"minisat-2.2", 21, atco_enc2_opt2_05_9.cnf,  76.63
"minisat-2.2", 23, complete-400-0.1-16-98765432140016.cnf,  0.07
"minisat-2.2", 24, complete-400-0.1-3-9876543214003.cnf,  0.06
"minisat-2.2", 25, complete-500-0.1-1-9876543215001.cnf,  0.12
"minisat-2.2", 26, complete-500-0.1-15-98765432150015.cnf,  0.11
"minisat-2.2", 27, complete-500-0.1-17-98765432150017.cnf,  0.11
"minisat-2.2", 28, complete-500-0.1-8-9876543215008.cnf,  0.11
"minisat-2.2", 11, 50bits_10.dimacs.cnf,  599.18
"minisat-2.2", 16, UCG-20-5p0.cnf,  489.37
"minisat-2.2", 31, itox_vc1130.cnf,  5.40
"minisat-2.2", 13, ACG-20-5p0.cnf,  894.60
"minisat-2.2", 6, 46bits_11.dimacs.cnf,  970.91
"minisat-2.2", 18, aes_32_3_keyfind_1.cnf,  801.57
"minisat-2.2", 29, gss-18-s100.cnf,  425.83
"minisat-2.2", 17, aes_32_2_keyfind_1.cnf,  813.53
"minisat-2.2", 9, 48bits_11.dimacs.cnf,  1000.00
"minisat-2.2", 33, jgiraldezlevy.2200.9086.08.40.194.cnf,  182.11
"minisat-2.2", 19, atco_enc1_opt1_04_32.cnf,  864.98
"minisat-2.2", 35, jgiraldezlevy.2200.9086.08.40.35.cnf,  152.60
"minisat-2.2", 22, atco_enc2_opt2_20_11.cnf,  609.27
"minisat-2.2", 37, jgiraldezlevy.2200.9086.08.40.62.cnf,  175.72
"minisat-2.2", 42, manthey_DimacsSorterHalf_29_2.cnf,  22.33
"minisat-2.2", 34, jgiraldezlevy.2200.9086.08.40.22.cnf,  204.86
"minisat-2.2", 36, jgiraldezlevy.2200.9086.08.40.41.cnf,  215.37
"minisat-2.2", 44, manthey_DimacsSorterHalf_30_3.cnf,  38.42
"minisat-2.2", 41, manthey_DimacsSorterHalf_28_4.cnf,  138.27
"minisat-2.2", 45, manthey_DimacsSorterHalf_30_7.cnf,  96.98
"minisat-2.2", 49, manthey_DimacsSorterHalf_33_1.cnf,  5.79
"minisat-2.2", 50, manthey_DimacsSorterHalf_37_6.cnf,  11.62
"minisat-2.2", 46, manthey_DimacsSorterHalf_31_2.cnf,  95.49
"minisat-2.2", 47, manthey_DimacsSorterHalf_31_8.cnf,  79.51
"minisat-2.2", 20, atco_enc1_opt2_10_14.cnf,  868.90
"minisat-2.2", 43, manthey_DimacsSorterHalf_30_0.cnf,  146.60
"minisat-2.2", 53, manthey_DimacsSorter_28_0.cnf,  29.55
"minisat-2.2", 51, manthey_DimacsSorterHalf_37_8.cnf,  36.55
"minisat-2.2", 56, manthey_DimacsSorter_28_7.cnf,  35.13
"minisat-2.2", 57, manthey_DimacsSorter_30_1.cnf,  87.33
"minisat-2.2", 39, jgiraldezlevy.2200.9086.08.40.85.cnf,  338.80
"minisat-2.2", 48, manthey_DimacsSorterHalf_32_1.cnf,  180.58
"minisat-2.2", 55, manthey_DimacsSorter_28_4.cnf,  141.62
"minisat-2.2", 62, manthey_DimacsSorter_31_6.cnf,  3.01
"minisat-2.2", 61, manthey_DimacsSorter_31_0.cnf,  11.10
"minisat-2.2", 54, manthey_DimacsSorter_28_3.cnf,  177.27
"minisat-2.2", 32, jgiraldezlevy.2200.9086.08.40.158.cnf,  834.55
"minisat-2.2", 58, manthey_DimacsSorter_30_4.cnf,  147.08
"minisat-2.2", 40, k2fix_gr_rcs_w9.shuffled.cnf,  410.10
"minisat-2.2", 68, manthey_single-ordered-initialized-w12-b6.cnf,  0.00
"minisat-2.2", 69, manthey_single-ordered-initialized-w14-b7.cnf,  0.00
"minisat-2.2", 70, manthey_single-ordered-initialized-w18-b7.cnf,  0.14
"minisat-2.2", 71, manthey_single-ordered-initialized-w18-b8.cnf,  0.05
"minisat-2.2", 72, manthey_single-ordered-initialized-w20-b10.cnf,  0.04
"minisat-2.2", 73, manthey_single-ordered-initialized-w20-b7.cnf,  0.14
"minisat-2.2", 74, manthey_single-ordered-initialized-w20-b8.cnf,  0.12
"minisat-2.2", 75, manthey_single-ordered-initialized-w22-b6.cnf,  0.25
"minisat-2.2", 76, manthey_single-ordered-initialized-w22-b8.cnf,  0.34
"minisat-2.2", 77, manthey_single-ordered-initialized-w24-b7.cnf,  0.53
"minisat-2.2", 78, manthey_single-ordered-initialized-w24-b9.cnf,  0.73
"minisat-2.2", 67, manthey_DimacsSorter_37_6.cnf,  11.90
"minisat-2.2", 79, manthey_single-ordered-initialized-w26-b7.cnf,  1.62
"minisat-2.2", 80, manthey_single-ordered-initialized-w26-b8.cnf,  1.54
"minisat-2.2", 81, manthey_single-ordered-initialized-w28-b8.cnf,  4.11
"minisat-2.2", 63, manthey_DimacsSorter_31_8.cnf,  75.94
"minisat-2.2", 82, manthey_single-ordered-initialized-w32-b9.cnf,  13.11
"minisat-2.2", 60, manthey_DimacsSorter_30_6.cnf,  113.53
"minisat-2.2", 59, manthey_DimacsSorter_30_5.cnf,  155.95
"minisat-2.2", 66, manthey_DimacsSorter_36_4.cnf,  92.23
"minisat-2.2", 30, gss-19-s100.cnf,  1000.00
"minisat-2.2", 64, manthey_DimacsSorter_32_1.cnf,  197.98
"minisat-2.2", 83, manthey_single-ordered-initialized-w40-b10.cnf,  175.08
"minisat-2.2", 84, manthey_single-ordered-initialized-w40-b8.cnf,  204.71
"minisat-2.2", 87, manthey_single-ordered-initialized-w44-b6.cnf,  215.37
"minisat-2.2", 38, jgiraldezlevy.2200.9086.08.40.81.cnf,  852.24
"minisat-2.2", 86, manthey_single-ordered-initialized-w42-b9.cnf,  362.59
"minisat-2.2", 52, manthey_DimacsSorterHalf_37_9.cnf,  609.48
"minisat-2.2", 96, mrpp_4x4-10_20.cnf,  4.78
"minisat-2.2", 97, mrpp_4x4-10_9.cnf,  0.61
"minisat-2.2", 95, minxorminand064.cnf,  128.21
"minisat-2.2", 99, mrpp_4x4-4_24.cnf,  0.28
"minisat-2.2", 100, mrpp_4x4-4_4.cnf,  0.02
"minisat-2.2", 101, mrpp_4x4-4_5.cnf,  0.00
"minisat-2.2", 102, mrpp_4x4-6_16.cnf,  0.41
"minisat-2.2", 103, mrpp_4x4-6_20.cnf,  0.49
"minisat-2.2", 104, mrpp_4x4-6_5.cnf,  0.01
"minisat-2.2", 105, mrpp_4x4-8_8.cnf,  0.15
"minisat-2.2", 106, mrpp_6x6-10_10.cnf,  0.62
"minisat-2.2", 107, mrpp_6x6-10_8.cnf,  0.32
"minisat-2.2", 108, mrpp_6x6-12_16.cnf,  20.21
"minisat-2.2", 109, mrpp_6x6-12_8.cnf,  0.01
"minisat-2.2", 85, manthey_single-ordered-initialized-w42-b8.cnf,  673.99
"minisat-2.2", 111, mrpp_6x6-16_12.cnf,  17.75
"minisat-2.2", 112, mrpp_6x6-16_9.cnf,  1.82
"minisat-2.2", 94, manthey_single-ordered-initialized-w54-b9.cnf,  387.70
"minisat-2.2", 114, mrpp_6x6-18_9.cnf,  4.75
"minisat-2.2", 88, manthey_single-ordered-initialized-w44-b7.cnf,  685.19
"minisat-2.2", 116, mrpp_8x8-12_9.cnf,  0.03
"minisat-2.2", 117, mrpp_8x8-16_12.cnf,  25.60
"minisat-2.2", 118, mrpp_8x8-18_12.cnf,  6.07
"minisat-2.2", 113, mrpp_6x6-18_12.cnf,  82.95
"minisat-2.2", 120, mrpp_8x8-22_10.cnf,  0.26
"minisat-2.2", 91, manthey_single-ordered-initialized-w48-b6.cnf,  616.58
"minisat-2.2", 65, manthey_DimacsSorter_35_7.cnf,  847.03
"minisat-2.2", 115, mrpp_6x6-20_10.cnf,  82.20
"minisat-2.2", 98, mrpp_4x4-12_12.cnf,  464.02
"minisat-2.2", 125, mrpp_8x8-8_9.cnf,  0.25
"minisat-2.2", 119, mrpp_8x8-18_13.cnf,  104.20
"minisat-2.2", 121, mrpp_8x8-22_11.cnf,  92.08
"minisat-2.2", 122, mrpp_8x8-24_11.cnf,  135.02
"minisat-2.2", 89, manthey_single-ordered-initialized-w44-b9.cnf,  852.59
"minisat-2.2", 126, openstacks-p30_3.085-SAT.cnf,  83.62
"minisat-2.2", 92, manthey_single-ordered-initialized-w48-b8.cnf,  772.42
"minisat-2.2", 110, mrpp_6x6-14_24.cnf,  499.84
"minisat-2.2", 93, manthey_single-ordered-initialized-w50-b6.cnf,  769.31
"minisat-2.2", 131, vmpc_29.cnf,  102.54
"minisat-2.2", 130, q_query_3_L80_coli.sat.cnf,  125.85
"minisat-2.2", 90, manthey_single-ordered-initialized-w46-b7.cnf,  947.16
"minisat-2.2", 127, partial-5-15-s.cnf,  366.53
"minisat-2.2", 129, q_query_3_L200_coli.sat.cnf,  330.93
"minisat-2.2", 128, q_query_3_L150_coli.sat.cnf,  416.23
"minisat-2.2", 123, mrpp_8x8-24_14.cnf,  782.41
