# sat-benchmark 0.8.17 on smithi @ 2016-06-27T22:05:17+09:00
# mios 1.2
# designate: 3502800 2016-06-27T22:05 /home/narazaki/.local/bin/mios-fca0eaa
# parameters: '' and timeout: 1260 sec.
solver, num, target, time
"mios-1.2.0 2016-06-27", 1, "SR15m/009-80-4.cnf",  197.44
"mios-1.2.0 2016-06-27", 2, "SR15m/38bits_10.dimacs.cnf",  15.88
"mios-1.2.0 2016-06-27", 3, "SR15m/40bits_10.dimacs.cnf",  37.09
"mios-1.2.0 2016-06-27", 4, "SR15m/42bits_12.dimacs.cnf",  82.86
"mios-1.2.0 2016-06-27", 5, "SR15m/44bits_11.dimacs.cnf",  180.31
"mios-1.2.0 2016-06-27", 6, "SR15m/46bits_11.dimacs.cnf",  376.68
"mios-1.2.0 2016-06-27", 7, "SR15m/46bits_12.dimacs.cnf",  86.65
"mios-1.2.0 2016-06-27", 8, "SR15m/46bits_14.dimacs.cnf",  341.53
"mios-1.2.0 2016-06-27", 9, "SR15m/48bits_11.dimacs.cnf",  169.87
"mios-1.2.0 2016-06-27", 10, "SR15m/48bits_14.dimacs.cnf",  954.96
"mios-1.2.0 2016-06-27", 11, "SR15m/50bits_10.dimacs.cnf",  1045.29
"mios-1.2.0 2016-06-27", 12, "SR15m/6s168-opt.cnf",  1259.15
"mios-1.2.0 2016-06-27", 13, "SR15m/ACG-20-5p0.cnf",  1259.44
"mios-1.2.0 2016-06-27", 14, "SR15m/E02F20.cnf",  341.70
"mios-1.2.0 2016-06-27", 15, "SR15m/E02F22.cnf",  428.49
"mios-1.2.0 2016-06-27", 16, "SR15m/UCG-20-5p0.cnf",  1259.50
"mios-1.2.0 2016-06-27", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1259.53
"mios-1.2.0 2016-06-27", 18, "SR15m/aes_32_3_keyfind_1.cnf",  1259.48
"mios-1.2.0 2016-06-27", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1259.35
"mios-1.2.0 2016-06-27", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  1259.39
"mios-1.2.0 2016-06-27", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  1259.27
"mios-1.2.0 2016-06-27", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  1040.82
"mios-1.2.0 2016-06-27", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  0.18
"mios-1.2.0 2016-06-27", 24, "SR15m/complete-400-0.1-3-9876543214003.cnf",  0.12
"mios-1.2.0 2016-06-27", 25, "SR15m/complete-500-0.1-1-9876543215001.cnf",  0.23
"mios-1.2.0 2016-06-27", 26, "SR15m/complete-500-0.1-15-98765432150015.cnf",  0.29
"mios-1.2.0 2016-06-27", 27, "SR15m/complete-500-0.1-17-98765432150017.cnf",  0.22
"mios-1.2.0 2016-06-27", 28, "SR15m/complete-500-0.1-8-9876543215008.cnf",  0.23
"mios-1.2.0 2016-06-27", 29, "SR15m/gss-18-s100.cnf",  1259.27
"mios-1.2.0 2016-06-27", 30, "SR15m/gss-19-s100.cnf",  1259.26
"mios-1.2.0 2016-06-27", 31, "SR15m/itox_vc1130.cnf",  22.96
"mios-1.2.0 2016-06-27", 32, "SR15m/jgiraldezlevy.2200.9086.08.40.158.cnf",  1259.47
"mios-1.2.0 2016-06-27", 33, "SR15m/jgiraldezlevy.2200.9086.08.40.194.cnf",  93.45
"mios-1.2.0 2016-06-27", 34, "SR15m/jgiraldezlevy.2200.9086.08.40.22.cnf",  410.90
"mios-1.2.0 2016-06-27", 35, "SR15m/jgiraldezlevy.2200.9086.08.40.35.cnf",  1259.31
"mios-1.2.0 2016-06-27", 36, "SR15m/jgiraldezlevy.2200.9086.08.40.41.cnf",  1110.69
"mios-1.2.0 2016-06-27", 37, "SR15m/jgiraldezlevy.2200.9086.08.40.62.cnf",  162.97
"mios-1.2.0 2016-06-27", 38, "SR15m/jgiraldezlevy.2200.9086.08.40.81.cnf",  1259.31
"mios-1.2.0 2016-06-27", 39, "SR15m/jgiraldezlevy.2200.9086.08.40.85.cnf",  356.31
"mios-1.2.0 2016-06-27", 40, "SR15m/k2fix_gr_rcs_w9.shuffled.cnf",  104.96
"mios-1.2.0 2016-06-27", 41, "SR15m/manthey_DimacsSorterHalf_28_4.cnf",  266.55
"mios-1.2.0 2016-06-27", 42, "SR15m/manthey_DimacsSorterHalf_29_2.cnf",  46.87
"mios-1.2.0 2016-06-27", 43, "SR15m/manthey_DimacsSorterHalf_30_0.cnf",  43.30
"mios-1.2.0 2016-06-27", 44, "SR15m/manthey_DimacsSorterHalf_30_3.cnf",  18.41
"mios-1.2.0 2016-06-27", 45, "SR15m/manthey_DimacsSorterHalf_30_7.cnf",  69.45
"mios-1.2.0 2016-06-27", 46, "SR15m/manthey_DimacsSorterHalf_31_2.cnf",  120.77
"mios-1.2.0 2016-06-27", 47, "SR15m/manthey_DimacsSorterHalf_31_8.cnf",  514.12
"mios-1.2.0 2016-06-27", 48, "SR15m/manthey_DimacsSorterHalf_32_1.cnf",  1259.31
"mios-1.2.0 2016-06-27", 49, "SR15m/manthey_DimacsSorterHalf_33_1.cnf",  1259.23
"mios-1.2.0 2016-06-27", 50, "SR15m/manthey_DimacsSorterHalf_37_6.cnf",  50.31
"mios-1.2.0 2016-06-27", 51, "SR15m/manthey_DimacsSorterHalf_37_8.cnf",  4.66
"mios-1.2.0 2016-06-27", 52, "SR15m/manthey_DimacsSorterHalf_37_9.cnf",  1258.92
"mios-1.2.0 2016-06-27", 53, "SR15m/manthey_DimacsSorter_28_0.cnf",  32.38
"mios-1.2.0 2016-06-27", 54, "SR15m/manthey_DimacsSorter_28_3.cnf",  85.76
"mios-1.2.0 2016-06-27", 55, "SR15m/manthey_DimacsSorter_28_4.cnf",  261.05
"mios-1.2.0 2016-06-27", 56, "SR15m/manthey_DimacsSorter_28_7.cnf",  64.45
"mios-1.2.0 2016-06-27", 57, "SR15m/manthey_DimacsSorter_30_1.cnf",  53.44
"mios-1.2.0 2016-06-27", 58, "SR15m/manthey_DimacsSorter_30_4.cnf",  87.62
"mios-1.2.0 2016-06-27", 59, "SR15m/manthey_DimacsSorter_30_5.cnf",  145.19
"mios-1.2.0 2016-06-27", 60, "SR15m/manthey_DimacsSorter_30_6.cnf",  8.04
"mios-1.2.0 2016-06-27", 61, "SR15m/manthey_DimacsSorter_31_0.cnf",  50.57
"mios-1.2.0 2016-06-27", 62, "SR15m/manthey_DimacsSorter_31_6.cnf",  12.89
"mios-1.2.0 2016-06-27", 63, "SR15m/manthey_DimacsSorter_31_8.cnf",  564.63
"mios-1.2.0 2016-06-27", 64, "SR15m/manthey_DimacsSorter_32_1.cnf",  1259.34
"mios-1.2.0 2016-06-27", 65, "SR15m/manthey_DimacsSorter_35_7.cnf",  348.09
"mios-1.2.0 2016-06-27", 66, "SR15m/manthey_DimacsSorter_36_4.cnf",  1259.32
"mios-1.2.0 2016-06-27", 67, "SR15m/manthey_DimacsSorter_37_6.cnf",  49.80
"mios-1.2.0 2016-06-27", 68, "SR15m/manthey_single-ordered-initialized-w12-b6.cnf",  0.02
"mios-1.2.0 2016-06-27", 69, "SR15m/manthey_single-ordered-initialized-w14-b7.cnf",  0.04
"mios-1.2.0 2016-06-27", 70, "SR15m/manthey_single-ordered-initialized-w18-b7.cnf",  0.20
"mios-1.2.0 2016-06-27", 71, "SR15m/manthey_single-ordered-initialized-w18-b8.cnf",  0.20
"mios-1.2.0 2016-06-27", 72, "SR15m/manthey_single-ordered-initialized-w20-b10.cnf",  0.11
"mios-1.2.0 2016-06-27", 73, "SR15m/manthey_single-ordered-initialized-w20-b7.cnf",  0.31
"mios-1.2.0 2016-06-27", 74, "SR15m/manthey_single-ordered-initialized-w20-b8.cnf",  0.35
"mios-1.2.0 2016-06-27", 75, "SR15m/manthey_single-ordered-initialized-w22-b6.cnf",  0.51
"mios-1.2.0 2016-06-27", 76, "SR15m/manthey_single-ordered-initialized-w22-b8.cnf",  0.62
"mios-1.2.0 2016-06-27", 77, "SR15m/manthey_single-ordered-initialized-w24-b7.cnf",  1.01
"mios-1.2.0 2016-06-27", 78, "SR15m/manthey_single-ordered-initialized-w24-b9.cnf",  1.25
"mios-1.2.0 2016-06-27", 79, "SR15m/manthey_single-ordered-initialized-w26-b7.cnf",  2.23
"mios-1.2.0 2016-06-27", 80, "SR15m/manthey_single-ordered-initialized-w26-b8.cnf",  1.96
"mios-1.2.0 2016-06-27", 81, "SR15m/manthey_single-ordered-initialized-w28-b8.cnf",  4.77
"mios-1.2.0 2016-06-27", 82, "SR15m/manthey_single-ordered-initialized-w32-b9.cnf",  17.08
"mios-1.2.0 2016-06-27", 83, "SR15m/manthey_single-ordered-initialized-w40-b10.cnf",  274.58
"mios-1.2.0 2016-06-27", 84, "SR15m/manthey_single-ordered-initialized-w40-b8.cnf",  249.61
"mios-1.2.0 2016-06-27", 85, "SR15m/manthey_single-ordered-initialized-w42-b8.cnf",  444.29
"mios-1.2.0 2016-06-27", 86, "SR15m/manthey_single-ordered-initialized-w42-b9.cnf",  585.74
"mios-1.2.0 2016-06-27", 87, "SR15m/manthey_single-ordered-initialized-w44-b6.cnf",  224.10
"mios-1.2.0 2016-06-27", 88, "SR15m/manthey_single-ordered-initialized-w44-b7.cnf",  470.33
"mios-1.2.0 2016-06-27", 89, "SR15m/manthey_single-ordered-initialized-w44-b9.cnf",  918.17
"mios-1.2.0 2016-06-27", 90, "SR15m/manthey_single-ordered-initialized-w46-b7.cnf",  651.23
"mios-1.2.0 2016-06-27", 91, "SR15m/manthey_single-ordered-initialized-w48-b6.cnf",  501.65
"mios-1.2.0 2016-06-27", 92, "SR15m/manthey_single-ordered-initialized-w48-b8.cnf",  541.44
"mios-1.2.0 2016-06-27", 93, "SR15m/manthey_single-ordered-initialized-w50-b6.cnf",  739.52
"mios-1.2.0 2016-06-27", 94, "SR15m/manthey_single-ordered-initialized-w54-b9.cnf",  162.26
"mios-1.2.0 2016-06-27", 95, "SR15m/minxorminand064.cnf",  1209.93
"mios-1.2.0 2016-06-27", 96, "SR15m/mrpp_4x4-10_20.cnf",  18.78
"mios-1.2.0 2016-06-27", 97, "SR15m/mrpp_4x4-10_9.cnf",  5.29
"mios-1.2.0 2016-06-27", 98, "SR15m/mrpp_4x4-12_12.cnf",  187.78
"mios-1.2.0 2016-06-27", 99, "SR15m/mrpp_4x4-4_24.cnf",  0.62
"mios-1.2.0 2016-06-27", 100, "SR15m/mrpp_4x4-4_4.cnf",  0.02
"mios-1.2.0 2016-06-27", 101, "SR15m/mrpp_4x4-4_5.cnf",  0.04
"mios-1.2.0 2016-06-27", 102, "SR15m/mrpp_4x4-6_16.cnf",  0.41
"mios-1.2.0 2016-06-27", 103, "SR15m/mrpp_4x4-6_20.cnf",  0.76
"mios-1.2.0 2016-06-27", 104, "SR15m/mrpp_4x4-6_5.cnf",  0.01
"mios-1.2.0 2016-06-27", 105, "SR15m/mrpp_4x4-8_8.cnf",  0.10
"mios-1.2.0 2016-06-27", 106, "SR15m/mrpp_6x6-10_10.cnf",  1.18
"mios-1.2.0 2016-06-27", 107, "SR15m/mrpp_6x6-10_8.cnf",  0.33
"mios-1.2.0 2016-06-27", 108, "SR15m/mrpp_6x6-12_16.cnf",  23.21
"mios-1.2.0 2016-06-27", 109, "SR15m/mrpp_6x6-12_8.cnf",  0.11
"mios-1.2.0 2016-06-27", 110, "SR15m/mrpp_6x6-14_24.cnf",  556.60
"mios-1.2.0 2016-06-27", 111, "SR15m/mrpp_6x6-16_12.cnf",  10.38
"mios-1.2.0 2016-06-27", 112, "SR15m/mrpp_6x6-16_9.cnf",  8.57
"mios-1.2.0 2016-06-27", 113, "SR15m/mrpp_6x6-18_12.cnf",  22.29
"mios-1.2.0 2016-06-27", 114, "SR15m/mrpp_6x6-18_9.cnf",  18.67
"mios-1.2.0 2016-06-27", 115, "SR15m/mrpp_6x6-20_10.cnf",  1259.37
"mios-1.2.0 2016-06-27", 116, "SR15m/mrpp_8x8-12_9.cnf",  0.15
"mios-1.2.0 2016-06-27", 117, "SR15m/mrpp_8x8-16_12.cnf",  36.55
"mios-1.2.0 2016-06-27", 118, "SR15m/mrpp_8x8-18_12.cnf",  34.95
"mios-1.2.0 2016-06-27", 119, "SR15m/mrpp_8x8-18_13.cnf",  141.58
"mios-1.2.0 2016-06-27", 120, "SR15m/mrpp_8x8-22_10.cnf",  1.63
"mios-1.2.0 2016-06-27", 121, "SR15m/mrpp_8x8-22_11.cnf",  339.93
"mios-1.2.0 2016-06-27", 122, "SR15m/mrpp_8x8-24_11.cnf",  343.67
"mios-1.2.0 2016-06-27", 123, "SR15m/mrpp_8x8-24_14.cnf",  1051.68
"mios-1.2.0 2016-06-27", 124, "SR15m/mrpp_8x8-24_16.cnf",  1258.87
"mios-1.2.0 2016-06-27", 125, "SR15m/mrpp_8x8-8_9.cnf",  0.08
"mios-1.2.0 2016-06-27", 126, "SR15m/openstacks-p30_3.085-SAT.cnf",  597.56
"mios-1.2.0 2016-06-27", 127, "SR15m/partial-5-15-s.cnf",  1006.37
"mios-1.2.0 2016-06-27", 128, "SR15m/q_query_3_L150_coli.sat.cnf",  1259.35
"mios-1.2.0 2016-06-27", 129, "SR15m/q_query_3_L200_coli.sat.cnf",  1259.34
