# sat-benchmark 0.8.17 on smithi @ 2016-07-20T08:09:25+09:00
# mios 1.2 <https://github.com/shnarazk/mios/>
# designate: 3502736 2016-07-20T08:09 /home/narazaki/.local/bin/mios-10576e4
# parameters: '' and timeout: 1260 sec.
solver, num, target, time
"mios-1.2.1 (10576e4@2016-07-20)", 1, "SR15m/009-80-4.cnf",  190.94
"mios-1.2.1 (10576e4@2016-07-20)", 2, "SR15m/38bits_10.dimacs.cnf",  15.33
"mios-1.2.1 (10576e4@2016-07-20)", 3, "SR15m/40bits_10.dimacs.cnf",  37.62
"mios-1.2.1 (10576e4@2016-07-20)", 4, "SR15m/42bits_12.dimacs.cnf",  97.41
"mios-1.2.1 (10576e4@2016-07-20)", 5, "SR15m/44bits_11.dimacs.cnf",  174.10
"mios-1.2.1 (10576e4@2016-07-20)", 6, "SR15m/46bits_11.dimacs.cnf",  364.60
"mios-1.2.1 (10576e4@2016-07-20)", 7, "SR15m/46bits_12.dimacs.cnf",  77.33
"mios-1.2.1 (10576e4@2016-07-20)", 8, "SR15m/46bits_14.dimacs.cnf",  325.64
"mios-1.2.1 (10576e4@2016-07-20)", 9, "SR15m/48bits_11.dimacs.cnf",  150.00
"mios-1.2.1 (10576e4@2016-07-20)", 10, "SR15m/48bits_14.dimacs.cnf",  922.83
"mios-1.2.1 (10576e4@2016-07-20)", 11, "SR15m/50bits_10.dimacs.cnf",  1061.97
"mios-1.2.1 (10576e4@2016-07-20)", 12, "SR15m/6s168-opt.cnf",  1259.08
"mios-1.2.1 (10576e4@2016-07-20)", 13, "SR15m/ACG-20-5p0.cnf",  1259.33
"mios-1.2.1 (10576e4@2016-07-20)", 14, "SR15m/E02F20.cnf",  339.01
"mios-1.2.1 (10576e4@2016-07-20)", 15, "SR15m/E02F22.cnf",  422.67
"mios-1.2.1 (10576e4@2016-07-20)", 16, "SR15m/UCG-20-5p0.cnf",  1259.37
"mios-1.2.1 (10576e4@2016-07-20)", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1259.48
"mios-1.2.1 (10576e4@2016-07-20)", 18, "SR15m/aes_32_3_keyfind_1.cnf",  1259.47
"mios-1.2.1 (10576e4@2016-07-20)", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1240.81
"mios-1.2.1 (10576e4@2016-07-20)", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  1259.34
"mios-1.2.1 (10576e4@2016-07-20)", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  1259.29
"mios-1.2.1 (10576e4@2016-07-20)", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  1037.83
"mios-1.2.1 (10576e4@2016-07-20)", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  0.12
"mios-1.2.1 (10576e4@2016-07-20)", 24, "SR15m/complete-400-0.1-3-9876543214003.cnf",  0.12
"mios-1.2.1 (10576e4@2016-07-20)", 25, "SR15m/complete-500-0.1-1-9876543215001.cnf",  0.32
"mios-1.2.1 (10576e4@2016-07-20)", 26, "SR15m/complete-500-0.1-15-98765432150015.cnf",  0.21
"mios-1.2.1 (10576e4@2016-07-20)", 27, "SR15m/complete-500-0.1-17-98765432150017.cnf",  0.22
"mios-1.2.1 (10576e4@2016-07-20)", 28, "SR15m/complete-500-0.1-8-9876543215008.cnf",  0.22
"mios-1.2.1 (10576e4@2016-07-20)", 29, "SR15m/gss-18-s100.cnf",  1259.27
"mios-1.2.1 (10576e4@2016-07-20)", 30, "SR15m/gss-19-s100.cnf",  1259.34
"mios-1.2.1 (10576e4@2016-07-20)", 31, "SR15m/itox_vc1130.cnf",  23.09
"mios-1.2.1 (10576e4@2016-07-20)", 32, "SR15m/jgiraldezlevy.2200.9086.08.40.158.cnf",  1259.36
"mios-1.2.1 (10576e4@2016-07-20)", 33, "SR15m/jgiraldezlevy.2200.9086.08.40.194.cnf",  81.07
"mios-1.2.1 (10576e4@2016-07-20)", 34, "SR15m/jgiraldezlevy.2200.9086.08.40.22.cnf",  397.70
"mios-1.2.1 (10576e4@2016-07-20)", 35, "SR15m/jgiraldezlevy.2200.9086.08.40.35.cnf",  1259.33
"mios-1.2.1 (10576e4@2016-07-20)", 36, "SR15m/jgiraldezlevy.2200.9086.08.40.41.cnf",  1133.91
"mios-1.2.1 (10576e4@2016-07-20)", 37, "SR15m/jgiraldezlevy.2200.9086.08.40.62.cnf",  178.42
"mios-1.2.1 (10576e4@2016-07-20)", 38, "SR15m/jgiraldezlevy.2200.9086.08.40.81.cnf",  1259.26
"mios-1.2.1 (10576e4@2016-07-20)", 39, "SR15m/jgiraldezlevy.2200.9086.08.40.85.cnf",  334.35
"mios-1.2.1 (10576e4@2016-07-20)", 40, "SR15m/k2fix_gr_rcs_w9.shuffled.cnf",  106.20
"mios-1.2.1 (10576e4@2016-07-20)", 41, "SR15m/manthey_DimacsSorterHalf_28_4.cnf",  270.76
"mios-1.2.1 (10576e4@2016-07-20)", 42, "SR15m/manthey_DimacsSorterHalf_29_2.cnf",  47.53
"mios-1.2.1 (10576e4@2016-07-20)", 43, "SR15m/manthey_DimacsSorterHalf_30_0.cnf",  43.98
"mios-1.2.1 (10576e4@2016-07-20)", 44, "SR15m/manthey_DimacsSorterHalf_30_3.cnf",  18.12
"mios-1.2.1 (10576e4@2016-07-20)", 45, "SR15m/manthey_DimacsSorterHalf_30_7.cnf",  65.11
"mios-1.2.1 (10576e4@2016-07-20)", 46, "SR15m/manthey_DimacsSorterHalf_31_2.cnf",  121.76
"mios-1.2.1 (10576e4@2016-07-20)", 47, "SR15m/manthey_DimacsSorterHalf_31_8.cnf",  505.64
"mios-1.2.1 (10576e4@2016-07-20)", 48, "SR15m/manthey_DimacsSorterHalf_32_1.cnf",  1259.09
"mios-1.2.1 (10576e4@2016-07-20)", 49, "SR15m/manthey_DimacsSorterHalf_33_1.cnf",  1259.26
"mios-1.2.1 (10576e4@2016-07-20)", 50, "SR15m/manthey_DimacsSorterHalf_37_6.cnf",  48.84
"mios-1.2.1 (10576e4@2016-07-20)", 51, "SR15m/manthey_DimacsSorterHalf_37_8.cnf",  4.45
"mios-1.2.1 (10576e4@2016-07-20)", 52, "SR15m/manthey_DimacsSorterHalf_37_9.cnf",  1258.77
"mios-1.2.1 (10576e4@2016-07-20)", 53, "SR15m/manthey_DimacsSorter_28_0.cnf",  33.82
"mios-1.2.1 (10576e4@2016-07-20)", 54, "SR15m/manthey_DimacsSorter_28_3.cnf",  101.88
"mios-1.2.1 (10576e4@2016-07-20)", 55, "SR15m/manthey_DimacsSorter_28_4.cnf",  288.65
"mios-1.2.1 (10576e4@2016-07-20)", 56, "SR15m/manthey_DimacsSorter_28_7.cnf",  57.87
"mios-1.2.1 (10576e4@2016-07-20)", 57, "SR15m/manthey_DimacsSorter_30_1.cnf",  48.68
"mios-1.2.1 (10576e4@2016-07-20)", 58, "SR15m/manthey_DimacsSorter_30_4.cnf",  82.44
"mios-1.2.1 (10576e4@2016-07-20)", 59, "SR15m/manthey_DimacsSorter_30_5.cnf",  146.73
"mios-1.2.1 (10576e4@2016-07-20)", 60, "SR15m/manthey_DimacsSorter_30_6.cnf",  7.96
"mios-1.2.1 (10576e4@2016-07-20)", 61, "SR15m/manthey_DimacsSorter_31_0.cnf",  52.30
"mios-1.2.1 (10576e4@2016-07-20)", 62, "SR15m/manthey_DimacsSorter_31_6.cnf",  12.55
"mios-1.2.1 (10576e4@2016-07-20)", 63, "SR15m/manthey_DimacsSorter_31_8.cnf",  555.48
"mios-1.2.1 (10576e4@2016-07-20)", 64, "SR15m/manthey_DimacsSorter_32_1.cnf",  1259.39
"mios-1.2.1 (10576e4@2016-07-20)", 65, "SR15m/manthey_DimacsSorter_35_7.cnf",  350.60
"mios-1.2.1 (10576e4@2016-07-20)", 66, "SR15m/manthey_DimacsSorter_36_4.cnf",  1259.28
"mios-1.2.1 (10576e4@2016-07-20)", 67, "SR15m/manthey_DimacsSorter_37_6.cnf",  49.38
"mios-1.2.1 (10576e4@2016-07-20)", 68, "SR15m/manthey_single-ordered-initialized-w12-b6.cnf",  0.02
"mios-1.2.1 (10576e4@2016-07-20)", 69, "SR15m/manthey_single-ordered-initialized-w14-b7.cnf",  0.04
"mios-1.2.1 (10576e4@2016-07-20)", 70, "SR15m/manthey_single-ordered-initialized-w18-b7.cnf",  0.23
"mios-1.2.1 (10576e4@2016-07-20)", 71, "SR15m/manthey_single-ordered-initialized-w18-b8.cnf",  0.19
"mios-1.2.1 (10576e4@2016-07-20)", 72, "SR15m/manthey_single-ordered-initialized-w20-b10.cnf",  0.11
"mios-1.2.1 (10576e4@2016-07-20)", 73, "SR15m/manthey_single-ordered-initialized-w20-b7.cnf",  0.33
"mios-1.2.1 (10576e4@2016-07-20)", 74, "SR15m/manthey_single-ordered-initialized-w20-b8.cnf",  0.34
"mios-1.2.1 (10576e4@2016-07-20)", 75, "SR15m/manthey_single-ordered-initialized-w22-b6.cnf",  0.51
"mios-1.2.1 (10576e4@2016-07-20)", 76, "SR15m/manthey_single-ordered-initialized-w22-b8.cnf",  0.64
"mios-1.2.1 (10576e4@2016-07-20)", 77, "SR15m/manthey_single-ordered-initialized-w24-b7.cnf",  1.02
"mios-1.2.1 (10576e4@2016-07-20)", 78, "SR15m/manthey_single-ordered-initialized-w24-b9.cnf",  1.26
"mios-1.2.1 (10576e4@2016-07-20)", 79, "SR15m/manthey_single-ordered-initialized-w26-b7.cnf",  2.28
"mios-1.2.1 (10576e4@2016-07-20)", 80, "SR15m/manthey_single-ordered-initialized-w26-b8.cnf",  1.96
"mios-1.2.1 (10576e4@2016-07-20)", 81, "SR15m/manthey_single-ordered-initialized-w28-b8.cnf",  4.79
"mios-1.2.1 (10576e4@2016-07-20)", 82, "SR15m/manthey_single-ordered-initialized-w32-b9.cnf",  18.41
"mios-1.2.1 (10576e4@2016-07-20)", 83, "SR15m/manthey_single-ordered-initialized-w40-b10.cnf",  300.42
"mios-1.2.1 (10576e4@2016-07-20)", 84, "SR15m/manthey_single-ordered-initialized-w40-b8.cnf",  228.14
"mios-1.2.1 (10576e4@2016-07-20)", 85, "SR15m/manthey_single-ordered-initialized-w42-b8.cnf",  454.96
"mios-1.2.1 (10576e4@2016-07-20)", 86, "SR15m/manthey_single-ordered-initialized-w42-b9.cnf",  587.72
"mios-1.2.1 (10576e4@2016-07-20)", 87, "SR15m/manthey_single-ordered-initialized-w44-b6.cnf",  230.32
"mios-1.2.1 (10576e4@2016-07-20)", 88, "SR15m/manthey_single-ordered-initialized-w44-b7.cnf",  468.91
"mios-1.2.1 (10576e4@2016-07-20)", 89, "SR15m/manthey_single-ordered-initialized-w44-b9.cnf",  904.04
"mios-1.2.1 (10576e4@2016-07-20)", 90, "SR15m/manthey_single-ordered-initialized-w46-b7.cnf",  630.53
"mios-1.2.1 (10576e4@2016-07-20)", 91, "SR15m/manthey_single-ordered-initialized-w48-b6.cnf",  490.87
"mios-1.2.1 (10576e4@2016-07-20)", 92, "SR15m/manthey_single-ordered-initialized-w48-b8.cnf",  554.68
"mios-1.2.1 (10576e4@2016-07-20)", 93, "SR15m/manthey_single-ordered-initialized-w50-b6.cnf",  734.74
"mios-1.2.1 (10576e4@2016-07-20)", 94, "SR15m/manthey_single-ordered-initialized-w54-b9.cnf",  179.31
"mios-1.2.1 (10576e4@2016-07-20)", 95, "SR15m/minxorminand064.cnf",  1204.71
"mios-1.2.1 (10576e4@2016-07-20)", 96, "SR15m/mrpp_4x4-10_20.cnf",  18.82
"mios-1.2.1 (10576e4@2016-07-20)", 97, "SR15m/mrpp_4x4-10_9.cnf",  5.62
"mios-1.2.1 (10576e4@2016-07-20)", 98, "SR15m/mrpp_4x4-12_12.cnf",  186.35
"mios-1.2.1 (10576e4@2016-07-20)", 99, "SR15m/mrpp_4x4-4_24.cnf",  0.59
"mios-1.2.1 (10576e4@2016-07-20)", 100, "SR15m/mrpp_4x4-4_4.cnf",  0.02
"mios-1.2.1 (10576e4@2016-07-20)", 101, "SR15m/mrpp_4x4-4_5.cnf",  0.03
"mios-1.2.1 (10576e4@2016-07-20)", 102, "SR15m/mrpp_4x4-6_16.cnf",  0.41
"mios-1.2.1 (10576e4@2016-07-20)", 103, "SR15m/mrpp_4x4-6_20.cnf",  0.76
"mios-1.2.1 (10576e4@2016-07-20)", 104, "SR15m/mrpp_4x4-6_5.cnf",  0.04
"mios-1.2.1 (10576e4@2016-07-20)", 105, "SR15m/mrpp_4x4-8_8.cnf",  0.20
"mios-1.2.1 (10576e4@2016-07-20)", 106, "SR15m/mrpp_6x6-10_10.cnf",  1.28
"mios-1.2.1 (10576e4@2016-07-20)", 107, "SR15m/mrpp_6x6-10_8.cnf",  0.42
"mios-1.2.1 (10576e4@2016-07-20)", 108, "SR15m/mrpp_6x6-12_16.cnf",  23.52
"mios-1.2.1 (10576e4@2016-07-20)", 109, "SR15m/mrpp_6x6-12_8.cnf",  0.18
"mios-1.2.1 (10576e4@2016-07-20)", 110, "SR15m/mrpp_6x6-14_24.cnf",  554.83
"mios-1.2.1 (10576e4@2016-07-20)", 111, "SR15m/mrpp_6x6-16_12.cnf",  10.48
"mios-1.2.1 (10576e4@2016-07-20)", 112, "SR15m/mrpp_6x6-16_9.cnf",  8.33
"mios-1.2.1 (10576e4@2016-07-20)", 113, "SR15m/mrpp_6x6-18_12.cnf",  22.38
"mios-1.2.1 (10576e4@2016-07-20)", 114, "SR15m/mrpp_6x6-18_9.cnf",  18.83
"mios-1.2.1 (10576e4@2016-07-20)", 115, "SR15m/mrpp_6x6-20_10.cnf",  1259.28
"mios-1.2.1 (10576e4@2016-07-20)", 116, "SR15m/mrpp_8x8-12_9.cnf",  0.12
"mios-1.2.1 (10576e4@2016-07-20)", 117, "SR15m/mrpp_8x8-16_12.cnf",  36.30
"mios-1.2.1 (10576e4@2016-07-20)", 118, "SR15m/mrpp_8x8-18_12.cnf",  34.88
"mios-1.2.1 (10576e4@2016-07-20)", 119, "SR15m/mrpp_8x8-18_13.cnf",  142.19
"mios-1.2.1 (10576e4@2016-07-20)", 120, "SR15m/mrpp_8x8-22_10.cnf",  1.59
"mios-1.2.1 (10576e4@2016-07-20)", 121, "SR15m/mrpp_8x8-22_11.cnf",  339.96
"mios-1.2.1 (10576e4@2016-07-20)", 122, "SR15m/mrpp_8x8-24_11.cnf",  342.34
"mios-1.2.1 (10576e4@2016-07-20)", 123, "SR15m/mrpp_8x8-24_14.cnf",  1031.33
"mios-1.2.1 (10576e4@2016-07-20)", 124, "SR15m/mrpp_8x8-24_16.cnf",  1259.01
"mios-1.2.1 (10576e4@2016-07-20)", 125, "SR15m/mrpp_8x8-8_9.cnf",  0.13
"mios-1.2.1 (10576e4@2016-07-20)", 126, "SR15m/openstacks-p30_3.085-SAT.cnf",  584.32
"mios-1.2.1 (10576e4@2016-07-20)", 127, "SR15m/partial-5-15-s.cnf",  1002.82
"mios-1.2.1 (10576e4@2016-07-20)", 128, "SR15m/q_query_3_L150_coli.sat.cnf",  1259.39
"mios-1.2.1 (10576e4@2016-07-20)", 129, "SR15m/q_query_3_L200_coli.sat.cnf",  1259.40
"mios-1.2.1 (10576e4@2016-07-20)", 130, "SR15m/q_query_3_L80_coli.sat.cnf",  509.05
"mios-1.2.1 (10576e4@2016-07-20)", 131, "SR15m/vmpc_29.cnf",  1152.05
# finished at 2016-07-20T22:22:23+09:00 on smithi
