# sat-benchmark 0.8.17 on smithi @ 2016-08-31T18:08:44+09:00
# mios 1.2.2 -- https://github.com/shnarazk/mios
# designate: 3481328 2016-08-31T18:08 /home/narazaki/.local/bin/mios-0a930e5
# parameters: '' and timeout: 1260 sec.
solver, num, target, time
"mios-1.3.0 (0a930e5@2016-08-31)", 1, "SR15m/009-80-4.cnf",  1191.35
"mios-1.3.0 (0a930e5@2016-08-31)", 2, "SR15m/38bits_10.dimacs.cnf",  12.11
"mios-1.3.0 (0a930e5@2016-08-31)", 3, "SR15m/40bits_10.dimacs.cnf",  97.47
"mios-1.3.0 (0a930e5@2016-08-31)", 4, "SR15m/42bits_12.dimacs.cnf",  101.39
"mios-1.3.0 (0a930e5@2016-08-31)", 5, "SR15m/44bits_11.dimacs.cnf",  324.82
"mios-1.3.0 (0a930e5@2016-08-31)", 6, "SR15m/46bits_11.dimacs.cnf",  75.82
"mios-1.3.0 (0a930e5@2016-08-31)", 7, "SR15m/46bits_12.dimacs.cnf",  30.25
"mios-1.3.0 (0a930e5@2016-08-31)", 8, "SR15m/46bits_14.dimacs.cnf",  538.93
"mios-1.3.0 (0a930e5@2016-08-31)", 9, "SR15m/48bits_11.dimacs.cnf",  1259.42
"mios-1.3.0 (0a930e5@2016-08-31)", 10, "SR15m/48bits_14.dimacs.cnf",  421.16
"mios-1.3.0 (0a930e5@2016-08-31)", 11, "SR15m/50bits_10.dimacs.cnf",  113.82
"mios-1.3.0 (0a930e5@2016-08-31)", 12, "SR15m/6s168-opt.cnf",  1258.97
"mios-1.3.0 (0a930e5@2016-08-31)", 13, "SR15m/ACG-20-5p0.cnf",  1259.38
"mios-1.3.0 (0a930e5@2016-08-31)", 14, "SR15m/E02F20.cnf",  1098.47
"mios-1.3.0 (0a930e5@2016-08-31)", 15, "SR15m/E02F22.cnf",  436.18
"mios-1.3.0 (0a930e5@2016-08-31)", 16, "SR15m/UCG-20-5p0.cnf",  1259.36
"mios-1.3.0 (0a930e5@2016-08-31)", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1250.31
"mios-1.3.0 (0a930e5@2016-08-31)", 18, "SR15m/aes_32_3_keyfind_1.cnf",  1259.06
"mios-1.3.0 (0a930e5@2016-08-31)", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1259.15
"mios-1.3.0 (0a930e5@2016-08-31)", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  1259.31
"mios-1.3.0 (0a930e5@2016-08-31)", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  905.87
"mios-1.3.0 (0a930e5@2016-08-31)", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  1081.40
"mios-1.3.0 (0a930e5@2016-08-31)", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  0.21
"mios-1.3.0 (0a930e5@2016-08-31)", 24, "SR15m/complete-400-0.1-3-9876543214003.cnf",  0.21
"mios-1.3.0 (0a930e5@2016-08-31)", 25, "SR15m/complete-500-0.1-1-9876543215001.cnf",  0.23
"mios-1.3.0 (0a930e5@2016-08-31)", 26, "SR15m/complete-500-0.1-15-98765432150015.cnf",  0.22
