# sat-benchmark 0.8.17 on smithi @ 2016-09-12T12:05:20+09:00
# mios 1.4.0 -- https://github.com/shnarazk/mios
# designate: 3914056 2016-09-12T10:59 /home/narazaki/.local/bin/mios-2d91fb9
# parameters: '' and timeout: 1260 sec.
solver, num, target, time
"mios-1.4.0 (2d91fb9@2016-09-12)", 1, "SR15m/009-80-4.cnf",  1124.67
"mios-1.4.0 (2d91fb9@2016-09-12)", 2, "SR15m/38bits_10.dimacs.cnf",  11.44
"mios-1.4.0 (2d91fb9@2016-09-12)", 3, "SR15m/40bits_10.dimacs.cnf",  81.59
"mios-1.4.0 (2d91fb9@2016-09-12)", 4, "SR15m/42bits_12.dimacs.cnf",  100.23
"mios-1.4.0 (2d91fb9@2016-09-12)", 5, "SR15m/44bits_11.dimacs.cnf",  357.29
"mios-1.4.0 (2d91fb9@2016-09-12)", 6, "SR15m/46bits_11.dimacs.cnf",  67.03
"mios-1.4.0 (2d91fb9@2016-09-12)", 7, "SR15m/46bits_12.dimacs.cnf",  28.27
"mios-1.4.0 (2d91fb9@2016-09-12)", 8, "SR15m/46bits_14.dimacs.cnf",  463.16
"mios-1.4.0 (2d91fb9@2016-09-12)", 9, "SR15m/48bits_11.dimacs.cnf",  1259.31
"mios-1.4.0 (2d91fb9@2016-09-12)", 10, "SR15m/48bits_14.dimacs.cnf",  359.51
"mios-1.4.0 (2d91fb9@2016-09-12)", 11, "SR15m/50bits_10.dimacs.cnf",  101.93
"mios-1.4.0 (2d91fb9@2016-09-12)", 12, "SR15m/6s168-opt.cnf",  1258.84
"mios-1.4.0 (2d91fb9@2016-09-12)", 13, "SR15m/ACG-20-5p0.cnf",  1259.31
"mios-1.4.0 (2d91fb9@2016-09-12)", 14, "SR15m/E02F20.cnf",  964.56
"mios-1.4.0 (2d91fb9@2016-09-12)", 15, "SR15m/E02F22.cnf",  437.17
"mios-1.4.0 (2d91fb9@2016-09-12)", 16, "SR15m/UCG-20-5p0.cnf",  1259.12
"mios-1.4.0 (2d91fb9@2016-09-12)", 17, "SR15m/aes_32_2_keyfind_1.cnf",  1259.19
"mios-1.4.0 (2d91fb9@2016-09-12)", 18, "SR15m/aes_32_3_keyfind_1.cnf",  1259.08
"mios-1.4.0 (2d91fb9@2016-09-12)", 19, "SR15m/atco_enc1_opt1_04_32.cnf",  1259.12
"mios-1.4.0 (2d91fb9@2016-09-12)", 20, "SR15m/atco_enc1_opt2_10_14.cnf",  1259.08
"mios-1.4.0 (2d91fb9@2016-09-12)", 21, "SR15m/atco_enc2_opt2_05_9.cnf",  1259.15
"mios-1.4.0 (2d91fb9@2016-09-12)", 22, "SR15m/atco_enc2_opt2_20_11.cnf",  1070.57
"mios-1.4.0 (2d91fb9@2016-09-12)", 23, "SR15m/complete-400-0.1-16-98765432140016.cnf",  0.22
"mios-1.4.0 (2d91fb9@2016-09-12)", 24, "SR15m/complete-400-0.1-3-9876543214003.cnf",  0.18
"mios-1.4.0 (2d91fb9@2016-09-12)", 25, "SR15m/complete-500-0.1-1-9876543215001.cnf",  0.32
"mios-1.4.0 (2d91fb9@2016-09-12)", 26, "SR15m/complete-500-0.1-15-98765432150015.cnf",  0.31
"mios-1.4.0 (2d91fb9@2016-09-12)", 27, "SR15m/complete-500-0.1-17-98765432150017.cnf",  0.33
"mios-1.4.0 (2d91fb9@2016-09-12)", 28, "SR15m/complete-500-0.1-8-9876543215008.cnf",  0.33
"mios-1.4.0 (2d91fb9@2016-09-12)", 29, "SR15m/gss-18-s100.cnf",  1239.55
"mios-1.4.0 (2d91fb9@2016-09-12)", 30, "SR15m/gss-19-s100.cnf",  1258.79
"mios-1.4.0 (2d91fb9@2016-09-12)", 31, "SR15m/itox_vc1130.cnf",  24.94
"mios-1.4.0 (2d91fb9@2016-09-12)", 32, "SR15m/jgiraldezlevy.2200.9086.08.40.158.cnf",  525.13
"mios-1.4.0 (2d91fb9@2016-09-12)", 33, "SR15m/jgiraldezlevy.2200.9086.08.40.194.cnf",  484.10
"mios-1.4.0 (2d91fb9@2016-09-12)", 34, "SR15m/jgiraldezlevy.2200.9086.08.40.22.cnf",  745.86
"mios-1.4.0 (2d91fb9@2016-09-12)", 35, "SR15m/jgiraldezlevy.2200.9086.08.40.35.cnf",  292.87
"mios-1.4.0 (2d91fb9@2016-09-12)", 36, "SR15m/jgiraldezlevy.2200.9086.08.40.41.cnf",  1259.29
"mios-1.4.0 (2d91fb9@2016-09-12)", 37, "SR15m/jgiraldezlevy.2200.9086.08.40.62.cnf",  225.99
