# 2017-06-04T22:34 /home/narazaki/.local/bin/mios-llvm-2017-06-04-2 ; Mios-1.5.0 -- https://github.com/shnarazk/mios
# p='', t=1260 on smithi @ 2017-06-04T22:34:38+09:00
solver, num, target, time
"mios-llvm-2017-06-04-2@06-04", 1, "SR15m131/009-80-4.cnf",  1051.18
"mios-llvm-2017-06-04-2@06-04", 2, "SR15m131/38bits_10.dimacs.cnf",  11.79
"mios-llvm-2017-06-04-2@06-04", 3, "SR15m131/40bits_10.dimacs.cnf",  86.31
"mios-llvm-2017-06-04-2@06-04", 4, "SR15m131/42bits_12.dimacs.cnf",  94.91
"mios-llvm-2017-06-04-2@06-04", 5, "SR15m131/44bits_11.dimacs.cnf",  377.24
"mios-llvm-2017-06-04-2@06-04", 6, "SR15m131/46bits_11.dimacs.cnf",  72.42
"mios-llvm-2017-06-04-2@06-04", 7, "SR15m131/46bits_12.dimacs.cnf",  28.50
"mios-llvm-2017-06-04-2@06-04", 8, "SR15m131/46bits_14.dimacs.cnf",  463.28
"mios-llvm-2017-06-04-2@06-04", 9, "SR15m131/48bits_11.dimacs.cnf",  1258.95
"mios-llvm-2017-06-04-2@06-04", 10, "SR15m131/48bits_14.dimacs.cnf",  363.52
"mios-llvm-2017-06-04-2@06-04", 11, "SR15m131/50bits_10.dimacs.cnf",  110.56
"mios-llvm-2017-06-04-2@06-04", 12, "SR15m131/6s168-opt.cnf",  1258.71
"mios-llvm-2017-06-04-2@06-04", 13, "SR15m131/ACG-20-5p0.cnf",  1259.19
"mios-llvm-2017-06-04-2@06-04", 14, "SR15m131/E02F20.cnf",  1119.58
"mios-llvm-2017-06-04-2@06-04", 15, "SR15m131/E02F22.cnf",  457.04
"mios-llvm-2017-06-04-2@06-04", 16, "SR15m131/UCG-20-5p0.cnf",  1259.14
"mios-llvm-2017-06-04-2@06-04", 17, "SR15m131/aes_32_2_keyfind_1.cnf",  1259.18
"mios-llvm-2017-06-04-2@06-04", 18, "SR15m131/aes_32_3_keyfind_1.cnf",  1258.92
"mios-llvm-2017-06-04-2@06-04", 19, "SR15m131/atco_enc1_opt1_04_32.cnf",  1259.02
"mios-llvm-2017-06-04-2@06-04", 20, "SR15m131/atco_enc1_opt2_10_14.cnf",  1258.48
"mios-llvm-2017-06-04-2@06-04", 21, "SR15m131/atco_enc2_opt2_05_9.cnf",  1258.49
"mios-llvm-2017-06-04-2@06-04", 22, "SR15m131/atco_enc2_opt2_20_11.cnf",  1258.63
"mios-llvm-2017-06-04-2@06-04", 23, "SR15m131/complete-400-0.1-16-98765432140016.cnf",  0.20
"mios-llvm-2017-06-04-2@06-04", 24, "SR15m131/complete-400-0.1-3-9876543214003.cnf",  0.19
"mios-llvm-2017-06-04-2@06-04", 25, "SR15m131/complete-500-0.1-1-9876543215001.cnf",  0.29
"mios-llvm-2017-06-04-2@06-04", 26, "SR15m131/complete-500-0.1-15-98765432150015.cnf",  0.31
"mios-llvm-2017-06-04-2@06-04", 27, "SR15m131/complete-500-0.1-17-98765432150017.cnf",  0.31
"mios-llvm-2017-06-04-2@06-04", 28, "SR15m131/complete-500-0.1-8-9876543215008.cnf",  0.30
"mios-llvm-2017-06-04-2@06-04", 29, "SR15m131/gss-18-s100.cnf",  1237.61
"mios-llvm-2017-06-04-2@06-04", 30, "SR15m131/gss-19-s100.cnf",  1238.25
